sampler,instance_seed,n,num_reads,best_energy,median_energy,mean_energy,wall_time,success_count,success_prob,tts_99,ground_state_energy
neal.SA,80000,80,50,-500.0,-496.0,-496.96,0.8240037939976901,11,0.22,0.30545415319090624,-500.0
ising_lab.SA,80001,80,50,-518.0,-518.0,-516.8,0.22407521601417102,38,0.76,0.014461392725674867,-518.0
ising_lab.PT,80001,80,50,-518.0,-518.0,-518.0,2.2809243299998343,50,1.0,0.045618486599996684,-518.0
neal.SA,80001,80,50,-518.0,-518.0,-516.24,0.8595630739873741,35,0.7,0.06575620690234985,-518.0
ising_lab.SA,80002,80,50,-500.0,-500.0,-498.4,0.23687375101144426,33,0.66,0.020223102833799904,-500.0
ising_lab.PT,80002,80,50,-500.0,-500.0,-500.0,2.343568623997271,50,1.0,0.04687137247994542,-500.0
neal.SA,80002,80,50,-500.0,-500.0,-498.08,0.8373286910064053,30,0.6,0.08416632384370178,-500.0
ising_lab.SA,80003,80,50,-580.0,-580.0,-580.0,0.22499878698727116,50,1.0,0.004499975739745424,-580.0
ising_lab.PT,80003,80,50,-580.0,-580.0,-580.0,2.375037372985389,50,1.0,0.04750074745970778,-580.0
neal.SA,80003,80,50,-580.0,-580.0,-580.0,0.8084376709884964,50,1.0,0.016168753419769928,-580.0
ising_lab.SA,80004,80,50,-524.0,-524.0,-523.12,0.23065693301032297,36,0.72,0.016688814966079667,-524.0
ising_lab.PT,80004,80,50,-524.0,-524.0,-524.0,2.3578217000176664,50,1.0,0.047156434000353326,-524.0
neal.SA,80004,80,50,-524.0,-524.0,-523.28,0.7893982309906278,36,0.72,0.05711565154195301,-524.0
ising_lab.SA,100000,100,50,-732.0,-732.0,-731.64,0.37505655898712575,44,0.88,0.016292307574201456,-732.0
ising_lab.PT,100000,100,50,-732.0,-732.0,-732.0,3.6770588450017385,50,1.0,0.07354117690003477,-732.0
neal.SA,100000,100,50,-732.0,-732.0,-731.76,1.1843215280096047,49,0.98,0.027883282812222552,-732.0
ising_lab.SA,100001,100,50,-722.0,-722.0,-720.48,0.3886519560182933,28,0.56,0.04360172469540211,-722.0
ising_lab.PT,100001,100,50,-722.0,-722.0,-722.0,3.7789414529979695,50,1.0,0.07557882905995938,-722.0
neal.SA,100001,100,50,-722.0,-722.0,-720.64,1.2116968799964525,27,0.54,0.14371831210056288,-722.0
ising_lab.SA,100002,100,50,-716.0,-716.0,-715.4,0.36883681401377544,46,0.92,0.013450029980210103,-716.0
ising_lab.PT,100002,100,50,-716.0,-716.0,-716.0,3.859119207976619,50,1.0,0.07718238415953238,-716.0
neal.SA,100002,100,50,-716.0,-716.0,-714.12,1.21380992201739,37,0.74,0.08299176919938638,-716.0
ising_lab.SA,100003,100,50,-780.0,-780.0,-780.0,0.3681439879874233,50,1.0,0.0073628797597484665,-780.0
ising_lab.PT,100003,100,50,-780.0,-780.0,-780.0,3.8077808810048737,50,1.0,0.07615561762009747,-780.0
neal.SA,100003,100,50,-780.0,-780.0,-780.0,1.2466595240111928,50,1.0,0.024933190480223858,-780.0
ising_lab.SA,100004,100,50,-712.0,-712.0,-711.0,0.4210867850051727,35,0.7,0.03221295864909637,-712.0
ising_lab.PT,100004,100,50,-712.0,-712.0,-712.0,4.171755858027609,50,1.0,0.08343511716055219,-712.0
neal.SA,100004,100,50,-712.0,-712.0,-709.72,1.2839127460028976,27,0.54,0.15228377310047655,-712.0
ising_lab.SA,150000,150,50,-1351.0,-1351.0,-1347.8,0.8657143349992111,43,0.86,0.04055476095584684,-1351.0
ising_lab.PT,150000,150,50,-1351.0,-1351.0,-1351.0,8.71271335799247,50,1.0,0.1742542671598494,-1351.0
neal.SA,150000,150,50,-1351.0,-1351.0,-1347.64,2.68763957999181,44,0.88,0.11674999313190856,-1351.0
ising_lab.SA,150001,150,50,-1367.0,-1365.0,-1365.36,0.8624896050023381,23,0.46,0.12891920673176666,-1367.0
ising_lab.PT,150001,150,50,-1367.0,-1367.0,-1367.0,8.710799097985728,50,1.0,0.17421598195971455,-1367.0
neal.SA,150001,150,50,-1367.0,-1365.0,-1365.64,2.8462527449883055,24,0.48,0.4008853880769939,-1367.0
ising_lab.SA,150002,150,50,-1357.0,-1351.0,-1351.56,0.8554599230119493,20,0.4,0.1542420093854571,-1357.0
ising_lab.PT,150002,150,50,-1357.0,-1357.0,-1357.0,8.755904770980123,50,1.0,0.17511809541960247,-1357.0
neal.SA,150002,150,50,-1357.0,-1351.0,-1350.56,2.8412620830058586,18,0.36,0.5863712107374613,-1357.0
ising_lab.SA,150003,150,50,-1375.0,-1375.0,-1375.0,0.8668097269837745,50,1.0,0.017336194539675488,-1375.0
ising_lab.PT,150003,150,50,-1375.0,-1375.0,-1375.0,8.628330370003823,50,1.0,0.17256660740007645,-1375.0
neal.SA,150003,150,50,-1375.0,-1375.0,-1375.0,2.785809971013805,50,1.0,0.0557161994202761,-1375.0
ising_lab.SA,150004,150,50,-1401.0,-1401.0,-1400.76,0.8415875019854866,49,0.98,0.019814063811312333,-1401.0
ising_lab.PT,150004,150,50,-1401.0,-1401.0,-1401.0,8.85007144298288,50,1.0,0.1770014288596576,-1401.0
neal.SA,150004,150,50,-1401.0,-1401.0,-1401.0,2.6848882400081493,50,1.0,0.053697764800162986,-1401.0
ising_lab.SA,200000,200,50,-2102.0,-2096.0,-2095.96,1.551068688975647,9,0.18,0.7198691352959841,-2102.0
ising_lab.PT,200000,200,50,-2102.0,-2102.0,-2102.0,15.694036010012496,50,1.0,0.31388072020024993,-2102.0
neal.SA,200000,200,50,-2102.0,-2096.0,-2096.16,4.59365185801289,10,0.2,1.896048391875051,-2102.0
ising_lab.SA,200001,200,50,-2096.0,-2096.0,-2086.8,1.5716252549900673,32,0.64,0.14168439152421483,-2096.0
